dataset,k,method,tradeoff,risk,return,active_count,hhi,effective_n,top1_share,top3_share
port2,8,epsilon_constraint,min_risk,0.00031043118492283395,0.006362280261302392,8,0.14721869000069993,6.792615801670601,0.2377362059,0.5331361473
port2,8,epsilon_constraint,balanced,0.0007464144764071101,0.008847788617626468,8,0.3709216301040436,2.695987289065617,0.4825600326,0.9950000000000001
port2,8,epsilon_constraint,max_return,0.001763878052753475,0.009544528424585884,8,0.6384653807562157,1.5662556344332608,0.7657390749,0.995
port2,8,nsga2,min_risk,0.00018377291161630958,0.003918523418466799,8,0.14291288435591515,6.997269731884815,0.2162432143,0.5282237903
port2,8,nsga2,balanced,0.0003168596642495555,0.006393406575087488,8,0.14839339776084798,6.738844282085974,0.2475421107,0.5223986736999999
port2,8,nsga2,max_return,0.0005653779570257475,0.007816673180036149,8,0.24319757879589726,4.111883041562871,0.3608751463,0.7667086655
port3,16,weighted_sum,min_risk,0.0002003651807073497,0.0024051290359296657,16,0.08229170785155698,12.1518926524634,0.1282595304,0.3582439722
port3,16,weighted_sum,balanced,0.0005555591453417157,0.006637783177800222,16,0.2340232697924487,4.273079343293012,0.3949465428,0.7291099001000001
port3,16,weighted_sum,max_return,0.0014827398308428353,0.008160745000034818,16,0.9702400000000003,1.030672823218997,0.985,0.987
port3,16,epsilon_constraint,min_risk,0.000347130645307329,0.005508050344637097,16,0.10807106278712739,9.253170776804025,0.1839527269,0.4407429403
port3,16,epsilon_constraint,balanced,0.0005387046181614233,0.00657110747445974,16,0.22221588951187146,4.500128241039113,0.3807584405,0.7000626207
port3,16,epsilon_constraint,max_return,0.0008261183900781867,0.007343966875700593,16,0.3854438410997214,2.5944116713523555,0.5846224875,0.8441938092000001
port3,16,nsga2,min_risk,0.0002291074638031892,0.003494557282662759,16,0.10889641119404272,9.183039083061223,0.2452240939,0.4509504721
port3,16,nsga2,balanced,0.0002822427564452401,0.004810840134391102,16,0.10668609986372855,9.37329231528111,0.2033169051,0.4704206057
port3,16,nsga2,max_return,0.00037043727114916756,0.005532196007986421,16,0.1399136509275206,7.147265426716865,0.2024092623,0.5545668848
port3,2,weighted_sum,min_risk,0.0003773535728835889,0.002190139987310171,2,0.5002065381503052,1.9991741885219294,0.5101621393,1.0
port3,2,weighted_sum,balanced,0.0006873684132709904,0.006689634642811594,2,0.5004014435808142,1.9983955138980356,0.5141676335,0.9999999999
port3,2,weighted_sum,max_return,0.001514821891174447,0.008207655000056468,2,0.9980020000000001,1.002001999995992,0.999,1.0
port3,2,epsilon_constraint,min_risk,0.00043130583586823904,0.0036188355560319886,2,0.5017634313305657,1.9929710647669583,0.5296936974,1.0
port3,2,epsilon_constraint,balanced,0.0007281200614254005,0.0068724760752536685,2,0.50455203777149,1.9819561217447639,0.5477076397,1.0
port3,2,epsilon_constraint,max_return,0.001514821891169053,0.008207655000041862,2,0.9980020000000001,1.002001999995992,0.999,1.0
port3,2,nsga2,min_risk,0.00039137254305216093,0.004373527856063231,2,0.544264021905732,1.8373435681060004,0.648768313,1.0
port3,2,nsga2,balanced,0.000751760485525294,0.006975607197084529,2,0.5050041743108801,1.9801816516954194,0.5500208672,1.0
port3,2,nsga2,max_return,0.0014149411483112195,0.008098524632753847,2,0.9226394139342142,1.0838470424062132,0.9596952327,1.0
port3,4,weighted_sum,min_risk,0.0002844831489777544,0.0028879396521663725,4,0.2733238161905363,3.6586639757103776,0.3414020974,0.8674354935
